customer_query,intent,dispute_category
Where can I find my recent transactions?,standard,
"The billing from Fox, Hill and Marquez doesn't match what I expected",dispute,Billing Issue
"I was promised a refund from Gonzalez, Wilcox and Miller but haven’t received it",dispute,Refund Not Processed
Still waiting for a refund after returning my item to Banks PLC,dispute,Refund Not Processed
I forgot to cancel Spencer Group and got charged again,dispute,Subscription/Auto-Renewal Issue
What are the charges for international transfers?,standard,
My Brown-Glass subscription renewed without my consent,dispute,Subscription/Auto-Renewal Issue
ATM at Hays LLC didn't dispense cash but deducted from my account,dispute,ATM/Withdrawal Error
Still waiting for a refund after returning my item to Mitchell LLC,dispute,Refund Not Processed
Someone used my card at Hays LLC without my permission,dispute,Fraud
I returned the product to Brown-Glass but wasn’t refunded,dispute,Cancelled Transaction Still Charged
Can you tell me the balance of my account?,standard,
Is there a branch near me that’s open today?,standard,
"I forgot to cancel Cook, Nguyen and Butler and got charged again",dispute,Subscription/Auto-Renewal Issue
I don’t recognize this charge from Craig and Sons,dispute,Fraud
My Mitchell LLC subscription renewed without my consent,dispute,Subscription/Auto-Renewal Issue
Can I increase my credit limit?,standard,
I don’t recognize this charge from Alvarado Inc,dispute,Fraud
The billing from Russell LLC doesn't match what I expected,dispute,Billing Issue
I want to update my phone number on file,standard,
I was charged twice by Savage Group for the same thing,dispute,Duplicate Transaction
How can I apply for a credit card?,standard,
I was promised a refund from Russell LLC but haven’t received it,dispute,Refund Not Processed
"Someone used my card at Jackson, Dunn and Gill without my permission",dispute,Fraud
How do I reset my online banking password?,standard,
I paid for something from Massey-Miller and it never arrived,dispute,Product/Service Not Received
How do I reset my online banking password?,standard,
Please help me activate my new debit card,standard,
Is there a branch near me that’s open today?,standard,
What is the interest rate on my savings account?,standard,
I was charged twice by Blevins-Mahoney for the same thing,dispute,Duplicate Transaction
How do I reset my online banking password?,standard,
I withdrew $100 at Allen and Sons ATM but only got $60,dispute,ATM/Withdrawal Error
"The billing from Austin, Shepherd and Cunningham doesn't match what I expected",dispute,Billing Issue
Is there a branch near me that’s open today?,standard,
Still waiting for a refund after returning my item to Alvarado Inc,dispute,Refund Not Processed
"What I received from Cook, Nguyen and Butler is different from what I ordered",dispute,Product/Service Not as Described
"I cancelled my subscription to Fox, Hill and Marquez but still got charged",dispute,Billing Issue
Where can I find my recent transactions?,standard,
Can I increase my credit limit?,standard,
Where can I find my recent transactions?,standard,
What is the interest rate on my savings account?,standard,
I don’t recognize this charge from Banks PLC,dispute,Fraud
I forgot to cancel Howell-Miller and got charged again,dispute,Subscription/Auto-Renewal Issue
Where can I find my recent transactions?,standard,
Can I increase my credit limit?,standard,
I want to update my phone number on file,standard,
Still waiting for a refund after returning my item to Hayes-Clark,dispute,Refund Not Processed
Where can I find my recent transactions?,standard,
